ticker,name,isin,currency,type,description,maxsalefee,minInvestment,minInvestmentCurr,nav,navDate,monthPerf,month3Perf,month6Perf,month9Perf,perfYear,perf3Year,perf5Year,perf7Year,perf10Year,category,typeDividend,typeIndex,srri,msrating,mscategory
AIGEF,PineBridge Europe Equity Fund - Class A,IE0034235071,USD,EQ-EU,EQ,5,1000,EUR,26.5435009,08.02.2022,-3.211044300451,-4.7202828580146,-3.7647877774918,0.36677821261792,9.1556970197927,9.1280245343166,6.3210284704161,3.727029077183,5.0866746851988,EQ-EU,FALSE,FALSE,6,2,Europe Large-Cap Blend Equity
AIGGEMF,PineBridge Global Emerging Markets Focus Equity Fund - Class A,IE00B0JY6N72,USD,EQ-GEM,EQ,5,1000,EUR,23.33440018,08.02.2022,-4.7843668517846,-10.712823475842,-12.087647120876,-13.518962571483,-17.565514756276,8.6072956958695,7.5345290509128,4.5860237955752,2.6088164864711,EQ-GEM,FALSE,FALSE,6,4,Global Emerging Markets Equity
AIGGCEF,PineBridge Greater China Equity Fund - Class A,IE0032431581,USD,EQ-CN,EQ,5,1000,EUR,46.66830063,08.02.2022,1.920997975483,1.6745207485016,-2.9131283207749,-7.1471632793148,-11.047342759444,5.5504506529014,6.6342618475763,3.1261766210868,4.0760537940143,EQ-CN,FALSE,FALSE,6,1,Greater China Equity
AIGIEF,PineBridge India Equity Fund - Class A,IE00B0JY6M65,USD,EQ-IND,EQ,5,1000,EUR,76.94390106,08.02.2022,-4.9724527943031,-7.2765090302607,-2.3257083375647,8.4713004054428,8.784458211863,14.156894939731,9.970463987467,7.4400061473332,10.045156440571,EQ-IND,FALSE,FALSE,5,4,India Equity
AIGLAF,PineBridge Latin America Equity Fund - Class A,IE00B1B80R65,USD,EQ-LATAM,EQ,5,1000,EUR,12.43939972,08.02.2022,9.9440531009431,5.6101743840524,-9.5796413540448,-9.1324801309023,-7.6620445975237,-7.1717056697895,-0.97413610992966,-0.38570779226705,-4.1696188388909,EQ-LATAM,FALSE,FALSE,6,2,Latin America Equity
AIGSEAF,PineBridge Asia ex Japan Equity Fund - Class A,IE0034224299,USD,EQ-ASEAN,EQ,5,1000,EUR,43.86169815,08.02.2022,-4.7418726422573,-11.701245314469,-17.504194220627,-20.214463069241,-26.369728488405,10.682141105187,7.621694097266,5.1183261636761,5.9642932696642,EQ-ASEAN,FALSE,FALSE,6,4,Asia ex-Japan Equity
AIGSBF,PineBridge Strategic Bond Fund - Class A,IE00B2N6FJ21,USD,BOND-GLB,BOND,5,1000,EUR,20.83550072,08.02.2022,-2.1044569946531,-3.7327776597023,-4.1905015910387,-3.1803121761718,-3.6998520983546,3.5261322175281,2.7063407159218,2.4002936426199,2.7684154629658,BOND-GLB,FALSE,FALSE,4,3,USD Flexible Bond
AIGUSLCREFA,PineBridge US Large Cap Research Enhanced Fund - Class A,IE00B1XK9C88,USD,EQ-US-LC,EQ,5,1000,EUR,38.78939819,08.02.2022,-2.3723950468136,-1.2628068880376,4.0786921138846,8.4393328599464,17.339181728806,16.499100268501,13.508456159458,11.03811100936,12.708504869123,EQ-US-LC,FALSE,FALSE,5,2,US Large-Cap Blend Equity
AZPEB,Allianz Euro Bond - AT - EUR - acc,LU0165915058,EUR,BOND-EUR,BOND,5,100,EUR,16.84000015,08.02.2022,-2.4333719582851,-4.0455840455841,-5.3400786958966,-3.4403669724771,-5.1801801801802,1.1958976862135,0.97818019693967,0.53732418542329,2.9104554223668,BOND-EUR,FALSE,FALSE,3,4,EUR Diversified Bond
AZRBE,Allianz GEM Equity High Dividend AT EUR - acc,LU0293313325,EUR,EQ-HD-GLB,EQ,5,100,EUR,134.6300049,08.02.2022,-0.27407407407408,1.8150192845799,-0.88345726275493,-1.6581446311176,0.074332862558535,9.1890541970194,7.2309685724551,6.7938991027515,4.8664221344153,EQ-HD-GLB,FALSE,FALSE,6,4,Global Emerging Markets Equity
